Questionable History: Hitler in Argentina, 17 hours ago, Eva Braun Hitler's mistress was a keen amateur photographer but no photos of the couple post-1945 have ever been found. The idea that Adolf Hitler faked his..., https://www.pattayamail.com/news/questionable-history-hitler-in-argentina-375191 
Lawmaker standing by comments comparing Lamont to Hitler, 11 hours ago, Republican state Rep. Anne Dauphinais initially posted a comment on Facebook Thursday night that called the Democrat “King Lamont aka Hitler.” Dauphinais posted..., https://www.ncadvertiser.com/news/article/Lawmaker-standing-by-comments-comparing-Lamont-to-16522806.php 
Lawmakers call on House Republican to apologize after comparing ..., 10 hours ago, Hitler too was a dictator enabled by the rule of the single Nazi party.” Dauphinais claimed Lamont is “segregating us from our work places coercing people to..., https://kesq.com/news/2021/10/10/lawmakers-call-on-house-republican-to-apologize-after-comparing-lamont-to-hitler/ 
OpenSea the largest NFT marketplace is selling artwork praising Hitler, 11 hours ago, Some artworks have disturbing titles such as “Hitler did nothing wrong” or “Heil Hitler.” One viral tweet this week took note of a particular collection on..., https://forward.com/fast-forward/476498/opensea-the-largest-nft-marketplace-is-selling-artwork-praising-hitler/ 
‘Perception that Hitler was a friend of India completely flawed’, 20 hours ago, "In 1936 while addressing a political rally in Munich Hitler said that Indians could not even walk and that it was the British who taught them how to walk"..., https://timesofindia.indiatimes.com/life-style/books/features/perception-that-hitler-was-a-friend-of-india-completely-flawed/articleshow/86908039.cms 
Shell's effort to help maintain Hitler's foreign markets thereby aiding ..., 11 hours ago, EXTRACT FROM A U.S. SENATE REPORT 1943. By John Donovan. A recently published book revealed the extent to which Shell played a key role in Hitler's war..., https://royaldutchshellplc.com/2021/10/10/shells-effort-to-help-maintain-hitlers-foreign-markets-aiding-the-nazi-government-in-its-direct-war-against-britain/ 
A lengthening shadow of Tamil nativism, 7 hours ago, ... who among other things invoked Adolf Hitler to bolster his anti-Dravidian rhetoric. This is not the first time he has referenced Hitler positively., https://www.thehindu.com/opinion/op-ed/a-lengthening-shadow-of-tamil-nativism/article36933400.ece 
Book review: Imperialism has not been buried amidst the 'blood and ..., 13 hours ago, The 100 pages of the 'Imperial Fantasies Imperial Realities 1940-43' chapter is a masterpiece of concision covering Hitler's fatal mistake to invade Russia..., https://www.irishexaminer.com/lifestyle/artsandculture/arid-40716512.html 
New York Times Guest Essayist Refaat Alareer Compared Israel to ..., 12 hours ago, In August our work on Mariam Barghouti who contended that “Israel has been beating Hitler at his own game since 1948” led to her effectively being..., https://honestreporting.com/new-york-times-guest-essayist-refaat-alareer-compared-israel-to-nazi-germany-over-100-times/ 
New US council to advance Holocaust education in public schools, 12 hours ago, In the letter Hitler called for the "uncompromising removal of the Jews altogether." "It is a shocking reminder that antisemitism and hate are flourishing once..., https://www.israelhayom.com/2021/10/10/new-us-council-to-advance-holocaust-education-in-public-schools/ 
Marjorie Taylor Greene melts down on Republican Party for not backing Trump's 2024 run, 5 hours ago, Hitler led Nazi's to do t… https://t.co/klgN4Ytssx. — Marjorie Taylor Greene (@Marjorie Taylor Greene ) 1633895011.0. In Greene's battle with Wood..., https://www.rawstory.com/marjorie-greene-republican-party-trump/ 
Mythen der Nazis: Als Hitler mit dem rosa Ufo entkam, 23 hours ago, Die Kommunisten dagegen sagten: Es waren die Nazis. Der Reichstagsbrand lieferte den Nazis den willkommenen Vorwand um Hitler diktatorische Vollmachten zu..., https://www.welt.de/kultur/plus234232366/Mythen-der-Nazis-Als-Hitler-mit-dem-rosa-Ufo-entkam.html 
Hitler sigue entre nosotros: qué hay detrás de las obstinadas teorías conspirativas y “fake news” sobre su destino, 22 hours ago, Contra los “argentinistas” como el historiador Richard Evans llama en Hitler y las teorías de la conspiración: el Tercer Reich y la imaginación paranoide (..., https://www.infobae.com/cultura/2021/10/10/hitler-sigue-entre-nosotros-que-hay-detras-de-las-obstinadas-teorias-conspirativas-y-fake-news-sobre-su-destino/ 
The Three Stooges: 10 Behind The Scenes Facts Every Fan Should Know, 5 hours ago, Thankfully Hitler's list did no harm to the Stooges. One Of Lucille Ball's First Roles. A young Lucille Ball alongside Larry., https://screenrant.com/three-stooges-behind-scenes-facts/ 
It is Goebbels' World, 16 hours ago, Joseph Goebbels was the chief propagandist and a key advisor of Hitler known for his skills in public speaking. He advocated that a repeatedly told lie..., https://www.dailypioneer.com/2021/columnists/it-is-goebbels----world.html 
Earl Samuelson Obituary (2021) - Van Nuys CA - Los Angeles Daily ..., 18 hours ago, The 99th Infantry Division distinguished themselves in winter combat during the Battle of the Bulge entering the Ardennes forest in Belgium to repel Hitler's..., https://www.legacy.com/obituaries/name/earl-samuelson-obituary%3Fpid%3D200357242 
